Loading TTS model...
Running TTS on zulu/test...
[3f6d1fe7-d06d-49c9-babd-34f728ee4f96/1dd052fd354de279cf808ae3097809a4] inf_time 1.912s | dur 5.611s | RTF 0.341 | dyn_rng 0.499
[9feb4f83-1400-43c8-ac1d-2d4806f289fd/889ae45d82fd4ce04bc5b5ff8d1e67dd] inf_time 1.569s | dur 5.611s | RTF 0.280 | dyn_rng 0.357
[3e2bcaa9-a3ff-4f01-b38d-3cbf21254b0b/4dc85b0217a3a1e35dd086d6050476a3] inf_time 1.964s | dur 6.912s | RTF 0.284 | dyn_rng 0.502
[ee01742a-3109-402c-b043-14d6fefd15ae/e09a3daaf9fc6a729dd009aa6adb1761] inf_time 0.894s | dur 2.965s | RTF 0.301 | dyn_rng 0.318
[af79fd41-13b0-4102-8e10-695637d0c7c5/926ed0928c83c6a5d6138b3fcafe1dd9] inf_time 2.647s | dur 9.696s | RTF 0.273 | dyn_rng 0.462
[4f111c16-b83f-4799-80b9-37a82f1191f8/76edf3a5534d9a0c392ccec1da3fd44f] inf_time 2.316s | dur 8.352s | RTF 0.277 | dyn_rng 0.476
[bf3492c0-1fd7-4e97-82ec-2172d8d55c24/04239fb681a6626e42ffd58dd45fb68f] inf_time 2.782s | dur 10.123s | RTF 0.275 | dyn_rng 0.508
[a3d168ba-7c00-4b61-84bc-78d044794f66/5c1ed4e824c62edd3b4d5c3ea58ce5d9] inf_time 3.495s | dur 12.715s | RTF 0.275 | dyn_rng 0.431
[db799b56-0235-4cc2-9be8-ed91b6db1093/e7c8df09f42a2ead7352897807a25b95] inf_time 3.911s | dur 14.389s | RTF 0.272 | dyn_rng 0.638
[ce9c2708-c254-4ec2-83cc-1f6621062f9c/5c6725b3117540cac5326254be8fb0eb] inf_time 3.661s | dur 13.504s | RTF 0.271 | dyn_rng 0.441
[4a9f8e8e-a515-4aa6-b0d6-a9c3c1b60f9a/5558ad58c069a07c02abeec99e0f73a2] inf_time 1.530s | dur 5.429s | RTF 0.282 | dyn_rng 0.383
[702dbaf8-a97e-4821-a9e4-0f189d0c16da/e749421751ebee73987b9e4458196871] inf_time 3.563s | dur 13.045s | RTF 0.273 | dyn_rng 0.600
[4032f953-e42b-446e-8578-37afe7906b51/aa6bc5612889c651310657ae5eac02f8] inf_time 2.310s | dur 8.309s | RTF 0.278 | dyn_rng 0.542
[5a2ed013-9cd7-492b-b6aa-25ab389bbad6/f15d52d102a43cae9fa95260a5c61c96] inf_time 1.032s | dur 3.520s | RTF 0.293 | dyn_rng 0.455
[380d9c9e-753b-4a2c-be51-f72030ec39ff/fc036d27e23efe0a46d8369b5b34af39] inf_time 0.979s | dur 3.296s | RTF 0.297 | dyn_rng 0.412
